text,label,source,rating
"It says Organic. but it isn't certified organic, so is it? I have Aloe plants, but when traveling having Aloe Vera in a bottle is terrific. Also if you are looking to make your own hand sanitizer this is great to add to isopropyl alcohol.<br /><br />Sdara is a Canadian Company that has been around since at least 2016.",negative,human,2.0
"These are easy to use, but take long to put in. my hair is long.  It took a long time to get these put in.  The curls were great. These rollers would be great for someone who wants to sleep in them. I didn't find it worth it to use during the day.<br /><br />Good curlers with no heat.  I prefer my hot rollers.",positive,human,4.0
"Beautiful brush but it stinks like rubber tires; YUCK; price is INSANE. At the current price of $48, this is insanely expensive. Yes the brush is a beautiful blue, with a fantastic gloss, and looks great, feels nice in my hands, and brushes my fine short to medium curly hair well. However, the brush stinks to high heaven and reminds me of the smell of burning rubber tires. Unfortunately, I cannot use this in this condition because I am extremely sensitive to offensive odors.",negative,human,2.0
Nice scent. Use it for my everyday cologne,positive,human,5.0
"Great value, stay power is good. Easy to use",positive,human,5.0
waste of money. Plastic does not bend for matching your brows and will not lay against your skin for tinting at all. The shapes included are way too large and do not match the natural brow lines. Total waste of money.,negative,human,1.0
Moisturizing and cost efficient. I love the cocoa butter and shea butter. I hear the shea butter up and whip it until it softens.,positive,human,5.0
Grumbles. And here we have another product that I am still not thrilled with your hair and your hair is close to yourself and what happens when the plastic cap comes off the end and the metal snap and now you have a big chunk of metal poking you in the head yeah I'm not happy at all I have not even contacted the vendor because I don't want sound mean to them how upset I am with the quality that is not here. Replacement would be nice,negative,human,1.0
"Good quality hair brush!. Really nice small brush. Made well, nice wood made with boar bristle, my son absolutely loves this. It brushes his hair well and keeps him looking his best. This compact size makes it nice to keep in the center console of his car or to take on vacation with him. Highly recommend!",positive,human,5.0
"Such a lovely scent but not overpowering.. This spray is really nice. It smells really good, goes on really fine, and does the trick. I will say it feels like you need a lot of it though to get the texture I want. I have a lot of hair, medium thickness. I am comparing to other brands with yucky chemicals so I'm gonna stick with this. Try it!",positive,human,5.0
Five Stars. So many great diverse colors,positive,human,5.0
"Good Product. Worked out fine.  Just a bit tight, but o.k.",positive,human,4.0
"Vegetal, messy flower balls; not sure why anyone would use this for anything but tea. I thought these were bath bombs when I ordered them. However, that is not what this is at all. There are 10 tiny balls of compressed flowers wrapped in various colored foils. They can be used as a tea, which is what I use them for, or they can be put in a bath. I have no idea how anyone would use this for baking as per the Amazon title.<br /><br />Nevertheless, all but the purple and red balls have a purely vegetal scent. The purple and red smell flowery. I have used tea balls before and never cared for them but did like how most stayed together. However, these balls expand into many little flower particles that float in the water. If one were to put this in a bath, it would clog the drain unless the flower debris was scooped out with a skimmer.  I used the blue ball to brew into a tea and it was tasteless. I also had to use a strainer and remove the lid on my pot to keep the spout from clogging.<br /><br />Besides the mess and lackluster flavor, there are absolutely no brewing instructions, no information on what tea ball is what flower.  The Amazon site has a list of the flower and the balls but does not show the foil color. It is almost impossible to reconcile that list with what is in front of me.<br /><br />Shame on the vendor for not creating an insert or package label that says what is inside and which tea ball is what flower. I personally do not care for this at all and will probably throw this in the garbage.<br /><br />This is not worth it to me at any price. It is certainly not a bath bomb, I can't see how it can be used for baking, and as a tea it is tasteless and messy. There is no fragrance, so its use as a bath bomb would be for romantic or ambiance purposes only.<br /><br />At the current price of $9.88 for 10 balls it comes to almost $1 per tea ball.",negative,human,2.0
Not worth it. These fall apart easily...I would not buy again,negative,human,2.0
"Dry & crumbly. Dry, crumbly and impossible to even get on.  Smells were not my favorite.  Won’t buy again.",negative,human,2.0
A+. Love it,positive,human,5.0
"I'm FURIOUS - shampoo bottle DOES NOT OPEN; conditioner is nice. This comes as a set and no matter what I do, the shampoo bottle will not open. This absolutely infuriates me. I was able to open the conditioner.  I removed plastic seal on the top of both bottles and turned as specified on the bottle. I spent 10 minutes trying to open the shampoo. Unless I take a hammer and chisel to it or an exacto knife, I can't use the shampoo.<br /><br />The conditioner is nice and has a subtle fresh aroma but without the pair, this is zero stars to me when I cannot get to the product.",negative,human,1.0
"Cheap, flimsy, cosmetic bag that has limited hanging options and is not worth consideration in my opinion. I am sorry I ordered this bag and am very disappointed. It's cheap, flimsy, and holds light items. Items have a tendency of tilting outward in the pockets depending on the size of the item and are at risk of falling out. The detachable clear plastic tote at the bottom is a nice touch, but that is about it. The zippers are sticky.<br /><br />In my opinion this cosmetic / travel organizer will not last at all. My biggest complaint is the hook for hanging. It is not a full-size hanger hook so there are a limited number of places to hang this. It can be hung on a wire shelf with holes (like a shower caddy or closet with wire inserts) but it does not hang on a shower rod or on a closet rod or any rod much thicker than a finger.<br /><br />This cosmetic bag is not even worth consideration in my opinion.",negative,human,1.0
"Quality hair iron, works perfectly to straighten my hair!. This is a great hair straightener. Heats up quickly and evenly, makes it easy to take the curl out of my naturally wavy hair. It fits easily in my hand and maneuvers around the front and back of my head easily. Does not heat up my countertop (keeps the heat on the iron). I love this pink, too, it matches my decor perfectly. I highly recommend this Bellezza styler.",positive,human,5.0
Oil. Works very well,positive,human,5.0
