text,label,source,rating
The product made my hair stiff and crunchy. It was hard to brush out later.,negative,ai,
This lip balm wore off quickly and did not help with chapped lips. I had to reapply constantly.,negative,ai,
This product did not fit into my routine because it took too long to dry. The results were not worth it.,negative,ai,
I liked how quickly this showed results on rough skin. It made the area feel smoother by morning.,positive,ai,
The product was gentle enough for frequent use. My skin felt clean and calm after using it.,positive,ai,
I liked the lightweight feel and the smooth finish. It made my morning routine faster.,positive,ai,
I liked that the fragrance was subtle and clean. It made the product feel pleasant without causing headaches.,positive,ai,
"The formula sounded simple, but it irritated my skin. I had to stop using it.",negative,ai,
The hand cream helped with dryness after only a few applications. It was rich but still absorbed fast.,positive,ai,
This face cream absorbed quickly and left my skin feeling soft without looking greasy. I noticed smoother texture after a few days and would buy it again.,positive,ai,
This mascara added length without clumping. It stayed on during the day and washed off without much effort.,positive,ai,
I liked the simple ingredient list and the way my skin responded. It felt soothing from the first use.,positive,ai,
The brush started shedding after the first wash. Bristles stuck to my face during application.,negative,ai,
The product gave my hair more volume without making it crunchy. It was easy to style afterward.,positive,ai,
The mask was hard to rinse off and left my skin irritated. It was not relaxing at all.,negative,ai,
The cleanser removed makeup without making my skin feel tight. I appreciated that it was gentle around my eyes.,positive,ai,
"After two weeks of use, my skin looked the same and felt more congested. I would not repurchase it.",negative,ai,
The product was difficult to apply evenly. It dried patchy and looked uneven.,negative,ai,
The scent is fresh and lasts for several hours without being overwhelming. I received compliments while wearing it.,positive,ai,
The deodorant worked through a full workday for me. The scent was light and did not clash with perfume.,positive,ai,
I did not see any improvement from this serum. It felt sticky and made my sunscreen pill.,negative,ai,
This spray left my curls sticky and weighed down. It made my hair look dull.,negative,ai,
I have used this for two weeks and my skin feels more balanced. It did not cause breakouts.,positive,ai,
The texture is creamy but not heavy. It helped my skin stay hydrated during the day.,positive,ai,
The facial oil never fully absorbed and made my face look greasy. It also had an unpleasant smell.,negative,ai,
This hair mask made my ends feel softer after one use. It also made my hair look shinier when it dried.,positive,ai,
The mask felt relaxing and left my skin soft afterward. It was easy to rinse off.,positive,ai,
The scent was unpleasant and the formula felt cheap. I could not finish the bottle.,negative,ai,
This sunscreen felt lightweight and did not leave a heavy white cast. It worked well under makeup.,positive,ai,
The fragrance was overpowering and lingered too long. I had to wash it off.,negative,ai,
I liked the gentle formula and did not experience irritation. It is a good option for my sensitive skin.,positive,ai,
This worked better than I expected on fine hair. It added softness without weighing it down.,positive,ai,
The color looked very different from the picture online. It was too orange and hard to blend.,negative,ai,
This nail treatment helped my nails feel stronger. It dried quickly and did not chip right away.,positive,ai,
This powder looked cakey and settled into lines. It made my makeup look worse.,negative,ai,
This serum gave my skin a brighter look after about a week. It layered well under sunscreen and did not pill.,positive,ai,
I expected better quality based on the reviews. The product felt cheap and did not work well.,negative,ai,
This hair mask made my hair limp instead of soft. It also left a coating that took extra washing to remove.,negative,ai,
The color matched the online photo closely. It applied smoothly and looked natural.,positive,ai,
I was surprised by how well this worked for the price. It feels comparable to more expensive products I have used.,positive,ai,
I am happy with this purchase because it is affordable and effective. It performs well for everyday use.,positive,ai,
This lotion is great after shaving because it does not sting. It leaves my legs smooth and moisturized.,positive,ai,
I bought this for travel and ended up using it every day. The size is convenient and the product works better than expected.,positive,ai,
I saw no improvement on rough skin. The product felt like ordinary lotion with a higher price.,negative,ai,
The product is easy to apply and does not feel sticky. It leaves a soft finish that I really like.,positive,ai,
The facial oil felt nourishing and only required a few drops. It gave my skin a healthy glow overnight.,positive,ai,
The deodorant did not last through a normal workday. I noticed odor again by lunchtime.,negative,ai,
The gel texture felt cooling and absorbed quickly. It was especially nice after being outside in the sun.,positive,ai,
The fragrance faded very quickly and smelled artificial. It was disappointing for the price.,negative,ai,
This exfoliator was effective without feeling harsh. My skin felt smoother but not scratched or red.,positive,ai,
This worked well on my dry elbows and knees. The improvement was noticeable after a couple of nights.,positive,ai,
This lip balm stayed on longer than most of the ones I have tried. It felt comfortable and kept my lips from cracking during the day.,positive,ai,
The toner felt refreshing and did not sting. It helped my skin feel cleaner before applying moisturizer.,positive,ai,
This spray refreshed my curls and made them easier to reshape. It did not leave a sticky residue.,positive,ai,
The conditioner made my hair easier to comb and reduced frizz. A small amount was enough for each use.,positive,ai,
This nail treatment chipped the same day. My nails did not feel stronger after using it.,negative,ai,
The body lotion has a pleasant scent that is not too strong. It kept my skin hydrated through the evening.,positive,ai,
The product arrived with broken packaging. It did not feel new or properly sealed.,negative,ai,
This product helped reduce the look of dryness around my nose. It felt gentle and reliable.,positive,ai,
The lightweight claim was misleading because it felt tacky all day. I stopped using it after a few tries.,negative,ai,
The body lotion was watery and not very moisturizing. My skin felt dry again within an hour.,negative,ai,
I regret buying this because it was neither affordable nor effective. It failed for everyday use.,negative,ai,
The cleanser made my skin feel tight and uncomfortable. It removed makeup poorly and left residue behind.,negative,ai,
This powder controlled shine without looking cakey. It worked well for touch-ups.,positive,ai,
This moisturizer felt heavy and left my face shiny for hours. It also caused small breakouts after a few days.,negative,ai,
The toner stung immediately and made my skin look flushed. I would not recommend it for sensitive skin.,negative,ai,
