model,dataset,text,source,true_label,predicted_label,score
distilbert_sst2,human,"It says Organic. but it isn't certified organic, so is it? I have Aloe plants, but when traveling having Aloe Vera in a bottle is terrific. Also if you are looking to make your own hand sanitizer this is great to add to isopropyl alcohol.<br /><br />Sdara is a Canadian Company that has been around since at least 2016.",human,negative,positive,0.9962144494056702
distilbert_sst2,human,"These are easy to use, but take long to put in. my hair is long.  It took a long time to get these put in.  The curls were great. These rollers would be great for someone who wants to sleep in them. I didn't find it worth it to use during the day.<br /><br />Good curlers with no heat.  I prefer my hot rollers.",human,positive,negative,0.8213968276977539
distilbert_sst2,human,"Deep cleaning as described. 4 stars because it pulled my skin off on the sensitive crease on side of my nose.  Just be careful if you have a tough spot upon removing.  You must rewet it if it is sticking too strongly.  I started on that spot and didn't realize it was tearing my skin.  If you follow the instructions, you should have no problem.",human,positive,negative,0.9080847501754761
distilbert_sst2,human,"Smells wonderful but suds sting my eyes & bar size is a joke and $$$$$$$$$$. This bar of facial soap smells wonderful, lathers well, and feels great using EXCEPT the suds sting my eyes. Also, the bar size is like those hotel travel bars. At the current price of $8, that is absolutely insane. I would not expect to purchase this for more than $2 a bar and that is even expensive for this tiny size. In addition to the price, the fact that it stings if one accidentally gets suds in their eye is also a negative.",human,negative,positive,0.9159258604049683
distilbert_sst2,human,Pretty Color. The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,human,positive,negative,0.9950361847877502
distilbert_sst2,human,"Lotion-zip, too heavily scented, lip balm excellent!. I received this gift set for Christmas. My husband ordered it from Amazon. The lip balm gets 5 stars! It’s my favorite. The lotion is such a strong offensive scent that I cannot wear it. I haven’t tried the little bottle yet since the lotion is so heavily scented.",human,negative,positive,0.9611904621124268
distilbert_sst2,human,"clip rollers. I purchased these to see if I could set my mom's hair.  She has fine, thin, short hair and I think these could be fun once in a while for a fluffy set.  Mom is 81.  These are super old school - hoping I can do it with a little foam styling product.",human,positive,negative,0.9613397121429443
distilbert_sst2,human,"I like the angle of this dermaplaning blade. I do like the angle of this dermaplaning blade, other than that, it's basically a razor.  It preforms just like any other razor blade other than the way you hold it.  I can't say it's something special due to this.  The cleaning brush is great and needs to be used since the hair stays in the blades.",human,positive,negative,0.5589799284934998
distilbert_sst2,human,"Did the job and looked great. Loved it. The words worked out fine but the single pins broke right out of the package, so I threw them out, but I didn’t buy these for the single pins.",human,positive,negative,0.9267084002494812
distilbert_sst2,human,Not 100% sure how safe it is particularly for damaged feet.. Had originally planned on using this for my feet but given I have some cracks it mentioned not to use on cracked or hurt feet because it could sting and other similar side effects. I am not sure whether to use this product or not because it also mentioned that it is possible that it will sting whether or not you have cracks on your feet or anything similar. I am a little worried if I should use this at all. I am gifting this away because I do not want to hurt my feet. I hope it helps someone else.,human,positive,negative,0.9762768149375916
distilbert_sst2,human,"QUICK RAIN PROTECTION. Rrain hats are really handy when<br />one doesn't have an umbrella, and<br />easy to carry in a purse or pocket.",human,positive,negative,0.6961838603019714
distilbert_sst2,human,"Works great but smells a little weird.. This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",human,positive,negative,0.9990283250808716
distilbert_sst2,human,Do not waste time or money. This is a joke. They do not work. Do not waste time or money.,human,negative,positive,0.8756872415542603
distilbert_sst2,human,nice sized !. i had a small one  that just got destroyed  these wires are much longer and bigger  i expect to live a lot longer than the tiny one i had !,human,positive,negative,0.9538544416427612
distilbert_sst2,human,"Pale orange color turns to light pink w/body heat but this is like expensive lip balm. I ordered the orange color. It is very pale and looks attractive in the tube. However, once worn it changed to a light pink on my lips. The moisturizing effects lasted a couple of hours but I personally did not like the look of the resulting color on my lips. Also, at the current price of $18.98, this is very expensive lip balm. Nivea makes colored lip balm that does not change color--so one knows what color they are getting. That lip balm works just as well and is a lot cheaper than this.",human,negative,positive,0.9575594663619995
distilbert_sst2,ai,I liked how quickly this showed results on rough skin. It made the area feel smoother by morning.,ai,positive,negative,0.6340959072113037
distilbert_sst2,ai,This mascara added length without clumping. It stayed on during the day and washed off without much effort.,ai,positive,negative,0.9945234060287476
distilbert_sst2,ai,This hair mask made my ends feel softer after one use. It also made my hair look shinier when it dried.,ai,positive,negative,0.989264190196991
distilbert_sst2,ai,This nail treatment helped my nails feel stronger. It dried quickly and did not chip right away.,ai,positive,negative,0.9859327673912048
distilbert_sst2,ai,I was surprised by how well this worked for the price. It feels comparable to more expensive products I have used.,ai,positive,negative,0.5238816142082214
distilbert_sst2,ai,The conditioner made my hair easier to comb and reduced frizz. A small amount was enough for each use.,ai,positive,negative,0.983659029006958
distilbert_sst2,ai,This eye cream felt hydrating and did not migrate into my eyes. The small tube lasted longer than expected.,ai,positive,negative,0.9727257490158081
distilbert_sst2,mixed,This eye cream felt hydrating and did not migrate into my eyes. The small tube lasted longer than expected.,ai,positive,negative,0.9727257490158081
distilbert_sst2,mixed,"Works great but smells a little weird.. This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",human,positive,negative,0.9990283250808716
distilbert_sst2,mixed,This hair mask made my ends feel softer after one use. It also made my hair look shinier when it dried.,ai,positive,negative,0.989264190196991
distilbert_sst2,mixed,"Smells wonderful but suds sting my eyes & bar size is a joke and $$$$$$$$$$. This bar of facial soap smells wonderful, lathers well, and feels great using EXCEPT the suds sting my eyes. Also, the bar size is like those hotel travel bars. At the current price of $8, that is absolutely insane. I would not expect to purchase this for more than $2 a bar and that is even expensive for this tiny size. In addition to the price, the fact that it stings if one accidentally gets suds in their eye is also a negative.",human,negative,positive,0.9159258604049683
distilbert_sst2,mixed,"Pale orange color turns to light pink w/body heat but this is like expensive lip balm. I ordered the orange color. It is very pale and looks attractive in the tube. However, once worn it changed to a light pink on my lips. The moisturizing effects lasted a couple of hours but I personally did not like the look of the resulting color on my lips. Also, at the current price of $18.98, this is very expensive lip balm. Nivea makes colored lip balm that does not change color--so one knows what color they are getting. That lip balm works just as well and is a lot cheaper than this.",human,negative,positive,0.9575594663619995
distilbert_sst2,mixed,Pretty Color. The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,human,positive,negative,0.9950361847877502
distilbert_sst2,mixed,Do not waste time or money. This is a joke. They do not work. Do not waste time or money.,human,negative,positive,0.8756872415542603
distilbert_sst2,mixed,I was surprised by how well this worked for the price. It feels comparable to more expensive products I have used.,ai,positive,negative,0.5238816142082214
distilbert_sst2,mixed,"Lotion-zip, too heavily scented, lip balm excellent!. I received this gift set for Christmas. My husband ordered it from Amazon. The lip balm gets 5 stars! It’s my favorite. The lotion is such a strong offensive scent that I cannot wear it. I haven’t tried the little bottle yet since the lotion is so heavily scented.",human,negative,positive,0.9611904621124268
